Sample	City
REF_G000023205	Reference
REF_G000180435	Reference
REF_G000632005	Reference
REF_G000632185	Reference
REF_G000735325	Reference
REF_G000877795	Reference
REF_G001061825	Reference
REF_G001066245	Reference
SL310935	Hong Kong
SL310936	Hong Kong
SL310937	Hong Kong
SL310939	Hong Kong
SL310940	Hong Kong
SL310941	Hong Kong
SL310942	Hong Kong
SL310943	Hong Kong
SL310944	Hong Kong
SL310945	Hong Kong
SL310946	Hong Kong
SL310947	Hong Kong
SL310948	Hong Kong
SL310949	Hong Kong
SL310950	Hong Kong
SL310951	Hong Kong
SL310952	Hong Kong
SL310953	Hong Kong
SL310954	Hong Kong
SL310955	Hong Kong
SL310956	Hong Kong
SL310957	Hong Kong
SL310958	Hong Kong
SL310959	Hong Kong
SL310960	Hong Kong
SL310961	Hong Kong
SL310962	Hong Kong
SL310963	Hong Kong
SL310964	Hong Kong
SL310965	Hong Kong
SL310966	Hong Kong
SL310967	Hong Kong
SL310968	Hong Kong
SL310969	Hong Kong
SL310970	Hong Kong
SL310971	Hong Kong
SL310972	Hong Kong
SL310973	Hong Kong
SL310974	Hong Kong
SL310975	Hong Kong
SL310976	Hong Kong
SL310977	Hong Kong
SL310978	Hong Kong
SL310979	Hong Kong
SL310980	Hong Kong
SL310981	Hong Kong
SL310982	Hong Kong
SL310983	Hong Kong
SL310984	Hong Kong
SL310985	Hong Kong
SL310986	Hong Kong
SL310987	Hong Kong
SL310988	Hong Kong
SL310989	Hong Kong
SL310990	Hong Kong
SL310991	Hong Kong
SL310992	Hong Kong
SL310993	Hong Kong
SL310995	Hong Kong
SL310996	Hong Kong
SL310997	Hong Kong
SL310998	Hong Kong
SL310999	Hong Kong
SL311000	Hong Kong
SL311001	Hong Kong
SL311002	Hong Kong
SL311003	Hong Kong
SL311004	Hong Kong
SL311005	Hong Kong
SL311006	Hong Kong
SL311007	Hong Kong
SL311008	Hong Kong
SL311009	Hong Kong
SL311010	Hong Kong
SL311011	Hong Kong
SL311012	Hong Kong
SL311013	Hong Kong
SL311014	Hong Kong
SL311015	Oslo
SL311016	Oslo
SL311017	Oslo
SL311018	Oslo
SL311019	Oslo
SL311020	Oslo
SL311021	Oslo
SL311023	Oslo
SL311024	Oslo
SL311025	Oslo
SL311026	Oslo
SL311029	Oslo
SL311030	Oslo
SL335676	Oslo
SL335677	Oslo
SL335678	Oslo
SL335679	Oslo
SL335680	Oslo
SL335681	Oslo
SL335682	Oslo
SL335684	Oslo
SL335685	Oslo
SL335686	Oslo
SL335687	Oslo
SL335690	Oslo
SL335691	Oslo
SL335692	Oslo
SL335693	Oslo
SL335694	Oslo
SL335695	Oslo
SL335696	Oslo
SL335697	Oslo
SL335698	Oslo
SL335700	Oslo
SL335701	Oslo
SL335702	Oslo
SL335703	Oslo
SL335706	Oslo
SL335707	Oslo
SL335708	Oslo
SL335709	Oslo
SL335710	Oslo
SL335711	Oslo
SL335712	Oslo
SL335713	Oslo
SL335714	Oslo
SL335716	Oslo
SL335717	Oslo
SL335719	Oslo
SL335720	Oslo
SL335722	Oslo
SL335723	Oslo
SL335749	Denver
SL335753	Denver
SL335763	Denver
SL335764	Denver
SL335770	Denver
SL335771	Denver
SL342364	New York
SL342365	New York
SL342366	New York
SL342368	New York
SL342373	New York
SL342374	New York
SL342375	New York
SL342376	New York
SL342377	New York
SL342383	New York
SL342384	New York
SL342385	New York
SL342386	New York
SL342387	New York
SL342388	New York
SL342390	New York
SL342391	New York
SL342401	London
SL342402	London
SL342403	London
SL342404	London
SL342405	London
SL342406	London
SL342407	London
SL342408	London
SL342409	London
SL342410	London
SL342411	London
SL342412	London
SL342413	London
SL342414	London
SL342415	London
SL342416	London
SL342417	London
SL342418	London
SL342419	London
SL342420	London
SL342421	London
SL342422	London
SL342423	London
SL342424	London
SL342425	London
SL342426	London
SL342427	London
SL342428	London
SL342429	London
SL342430	London
SL342439	Stockholm
SL342440	Stockholm
SL342441	Stockholm
SL342442	Stockholm
SL342443	Stockholm
SL342445	Stockholm
SL342446	Stockholm
SL342447	Stockholm
SL342448	Stockholm
SL342449	Stockholm
SL342450	Stockholm
SL342451	Stockholm
SL342452	Stockholm
SL342453	Stockholm
SL342454	Stockholm
SL342455	Stockholm
SL342456	Stockholm
SL342457	Stockholm
SL342458	Stockholm
SL342516	Stockholm
SL342517	Stockholm
SL342518	Stockholm
